id,date,direction,status,class,isPrimaryMoveZone,duplicateMoveCredit,uniqueMoveId,zone_score_v1_raw,zone_score_v1_z,zone_score_v1_bucket,zone_score_v1_coverage,feat_cand_pressure_against,feat_cand_absorb_score,feat_cand_refill_with,feat_conf_cycles_seen,feat_conf_age_min,feat_conf_defended_persistence_sec,feat_candidate_to_confirm_min,feat_confirm_to_trigger_min,feat_total_pre_trigger_min,feat_trig_flow_multiplier,feat_trig_break_pct,feat_score_absorption,comp_cand_pressure_against,comp_cand_absorb_score,comp_cand_refill_with,comp_conf_cycles_seen,comp_conf_age_min,comp_conf_defended_persistence_sec,comp_candidate_to_confirm_min,comp_confirm_to_trigger_min,comp_total_pre_trigger_min,comp_trig_flow_multiplier,comp_trig_break_pct,comp_score_absorption
BTC-USDT-SWAP-LONG-1746058940000-3,2025-05-01,LONG,RESOLVED_REACHED,primary_unique_reached_move,True,False,1,-43.95414477121999,-3.104544418227119,low,1.0,0.6805167382293352,0.6187925131149042,0.49703608408947386,164.0,3.0,180.0,3.0,21.6,24.6,1.4334407702745333,0.07951696107960526,0.6149927743814335,-0.3892555742671797,-0.3471425998574613,0.21422255224256323,-88.06800000000001,1.014,60.84,1.014,-9.2232,-9.348,0.5619087819476171,-0.024650257934677632,-0.1980276733508216
BTC-USDT-SWAP-LONG-1746060889000-4,2025-05-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,65.04596549686376,-0.014456859113236964,mid,1.0,0.627650517670613,0.6081994423575745,0.5003057170065748,33.0,4.316666666666666,259.0,4.316666666666666,7.55,11.866666666666667,1.9996945691317327,0.09987088960745623,0.7088630824551033,-0.3590160961075906,-0.3411998871625993,0.21563176402983372,-17.721,1.4590333333333334,87.542,1.4590333333333334,-3.2238499999999997,-4.509333333333333,0.7838802710996392,-0.03095997577831143,-0.22825391255054328
BTC-USDT-SWAP-SHORT-1746057640000-1,2025-05-01,SHORT,INVALIDATED,invalidated_or_expired,,,,47.71167424132192,1.0248446292016153,high,0.6666666666666666,0.5648574872801441,0.6213432360081586,0.5018266433906537,27.0,3.0,180.0,3.0,,,,,0.6271459747038393,-0.32309848272424235,-0.348573555400577,0.21628728330137176,-14.499,1.014,60.84,1.014,,,,,-0.20194100385463626
BTC-USDT-SWAP-SHORT-1746058459000-2,2025-05-01,SHORT,INVALIDATED,invalidated_or_expired,,,,259.5395798525757,-1.469380362668908,low,0.6666666666666666,0.5905701082060147,0.6496271190266163,0.5004685644484194,154.0,16.366666666666667,982.0,16.366666666666667,,,,,0.7942293468956987,-0.3378061018938404,-0.3644408137739318,0.21570195127726874,-82.69800000000001,5.531933333333334,331.916,5.531933333333334,,,,,-0.25574184970041497
BTC-USDT-SWAP-LONG-1746065831000-8,2025-05-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,80.72177500104237,-3.988724268805558,low,1.0,0.7654375271548435,0.8419812798703279,0.5010973734267735,87.0,6.316666666666666,379.0,6.316666666666666,3.6166666666666667,9.933333333333334,3.368696943618207,0.12730130783687532,0.6185258794006121,-0.43783026553257043,-0.472351498007254,0.21597296794693938,-46.719,2.1350333333333333,128.102,2.1350333333333333,-1.5443166666666666,-3.7746666666666666,1.3205292018983372,-0.03946340542943135,-0.1991653331669971
BTC-USDT-SWAP-LONG-1746062484000-6,2025-05-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,157.5984434586083,-0.18351648110766533,mid,1.0,0.5864295769281497,0.6450725346209647,0.5000711283670334,81.0,11.95,717.0,11.95,55.56666666666667,67.51666666666667,2.080126602006754,0.21405761127796177,0.6606073176493805,-0.33543771800290156,-0.36188569192236125,0.2155306563261914,-43.497,4.0391,242.346,4.0391,-23.726966666666666,-25.656333333333333,0.8154096279866476,-0.06635785949616815,-0.21271555628310054
BTC-USDT-SWAP-SHORT-1746066729000-9,2025-05-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,56.95815053867579,-0.7402649155630735,low,1.0,0.6089362074743608,0.6698298282217969,0.5014442181898652,108.0,7.966666666666667,478.0,7.966666666666667,60.483333333333334,68.45,1.4770973411205663,0.07224716274952804,0.6415985889955226,-0.3483115106753344,-0.37577453363242813,0.21612245803983188,-57.996,2.6927333333333334,161.56400000000002,2.6927333333333334,-25.826383333333332,-26.011000000000003,0.579022157719262,-0.02239662045235369,-0.20659474565655828
BTC-USDT-SWAP-LONG-1746066920000-10,2025-05-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,194.2519307585052,-2.4781917132193936,low,1.0,0.6855103308675871,0.7520801202233997,0.5016614318933859,155.0,19.783333333333335,1187.0,19.783333333333335,160.96666666666667,180.75,2.907528599759001,0.05018570810001786,0.6248968018648271,-0.39211190925625977,-0.42191694744532726,0.2162160771460493,-83.235,6.686766666666668,401.206,6.686766666666668,-68.73276666666666,-68.685,1.1397512111055284,-0.015557569511005535,-0.20121677020047432
BTC-USDT-SWAP-SHORT-1746062013000-5,2025-05-01,SHORT,INVALIDATED,invalidated_or_expired,,,,301.9849218885172,-2.4798767851810104,low,0.6666666666666666,0.7221780069564462,0.7943958076520908,0.5007654103552581,26.0,15.116666666666667,907.0,15.116666666666667,,,,,0.6056919314929733,-0.41308581997908717,-0.445656048092823,0.21582989186311624,-13.962000000000002,5.1094333333333335,306.56600000000003,5.1094333333333335,,,,,-0.1950328019407374
BTC-USDT-SWAP-SHORT-1746062920000-7,2025-05-01,SHORT,INVALIDATED,invalidated_or_expired,,,,212.5007579512297,2.451866019030052,high,0.6666666666666666,0.5506290286299756,0.6056919314929733,0.5020699084285449,7.0,10.35,621.0,10.35,,,,,0.6101900663327127,-0.314959804376346,-0.33979317356755806,0.21639213053270287,-3.7590000000000003,3.4983,209.89800000000002,3.4983,,,,,-0.1964812013591335
