date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T10:02:47.000Z,2026-03-01T10:10:18.000Z,2026-03-01T10:35:59.000Z,66210.15,66437.552175,66699.95,68033.949,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.949,2.532,,,,,,"candidate@2026-03-01T10:02:47.000Z{sellPressure=0.559,bidRefillScore=0.502,downMovePct=0.000,absorbScore=0.615,rangeCompression=true} | confirmed@2026-03-01T10:10:18.000Z{cyclesSeen=24.000,ageMin=7.517,defendedPersistenceSec=451.000,oppositeThinning=0.501,voidScore=0.368} | trigger@2026-03-01T10:35:59.000Z{breakPct=0.395,flowMultiplier=1.406,sideFlowOK=true,triggerPrice=66699.950,targetPrice=68033.949} | expire@2026-03-02T10:35:59.000Z{allHorizonsFailed=true,targetPrice=68033.949}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-03-01T10:29:49.000Z,2026-03-01T10:32:49.000Z,2026-03-01T10:40:15.000Z,66466.89992499999,66599.75,66432.35,65103.703,failed_by_timeout,failed_by_timeout,reached,2.140,1.356,592.39,1,8,no,yes,"candidate@2026-03-01T10:29:49.000Z{buyPressure=0.583,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.641,rangeCompression=true} | confirmed@2026-03-01T10:32:49.000Z{cyclesSeen=72.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.502,voidScore=0.344} | trigger@2026-03-01T10:40:15.000Z{breakPct=0.052,flowMultiplier=3.104,sideFlowOK=true,triggerPrice=66432.350,targetPrice=65103.703} | expire@2026-03-01T20:32:38.240Z{earliestReachedHorizon=24h,targetPrice=65103.703}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T15:27:14.000Z,2026-03-01T15:34:06.000Z,-,67024.15,67158.85,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T15:27:14.000Z{sellPressure=0.575,bidRefillScore=0.518,downMovePct=0.000,absorbScore=0.633,rangeCompression=true} | confirmed@2026-03-01T15:34:06.000Z{cyclesSeen=7.000,ageMin=6.867,defendedPersistenceSec=412.000,oppositeThinning=0.509,voidScore=0.223} | invalidate@2026-03-01T16:01:19.000Z{mid=66670.600,zoneLow=67024.150,zoneHigh=67158.850}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-01T16:59:50.000Z,2026-03-01T17:03:50.000Z,2026-03-01T17:17:41.000Z,65951.05,66194.05,65844.85,64527.953,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.266,1.584,,,,,,"candidate@2026-03-01T16:59:50.000Z{buyPressure=0.604,askRefillScore=0.490,upMovePct=0.000,absorbScore=0.664,rangeCompression=true} | confirmed@2026-03-01T17:03:50.000Z{cyclesSeen=107.000,ageMin=4.000,defendedPersistenceSec=240.000,oppositeThinning=0.501,voidScore=0.000} | trigger@2026-03-01T17:17:41.000Z{breakPct=0.161,flowMultiplier=1.416,sideFlowOK=true,triggerPrice=65844.850,targetPrice=64527.953} | expire@2026-03-02T17:17:41.000Z{allHorizonsFailed=true,targetPrice=64527.953}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-01T17:01:02.000Z,2026-03-01T17:11:16.000Z,2026-03-01T17:17:49.000Z,65951.05,66194.05,65767.05,64451.709,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.150,1.704,,,,,,"candidate@2026-03-01T17:01:02.000Z{buyPressure=0.584,askRefillScore=0.497,upMovePct=0.000,absorbScore=0.643,rangeCompression=true} | confirmed@2026-03-01T17:11:16.000Z{cyclesSeen=58.000,ageMin=10.233,defendedPersistenceSec=614.000,oppositeThinning=0.491,voidScore=0.000} | trigger@2026-03-01T17:17:49.000Z{breakPct=0.279,flowMultiplier=1.550,sideFlowOK=true,triggerPrice=65767.050,targetPrice=64451.709} | expire@2026-03-02T17:17:49.000Z{allHorizonsFailed=true,targetPrice=64451.709}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T17:08:48.000Z,2026-03-01T17:22:08.000Z,2026-03-01T18:04:02.000Z,65694.25,66192.05,66337.05,67663.791,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.831,1.999,,,,,,"candidate@2026-03-01T17:08:48.000Z{sellPressure=0.562,bidRefillScore=0.500,downMovePct=0.000,absorbScore=0.618,rangeCompression=true} | confirmed@2026-03-01T17:22:08.000Z{cyclesSeen=10.000,ageMin=13.333,defendedPersistenceSec=800.000,oppositeThinning=0.501,voidScore=0.409} | trigger@2026-03-01T18:04:02.000Z{breakPct=0.219,flowMultiplier=2.434,sideFlowOK=true,triggerPrice=66337.050,targetPrice=67663.791} | expire@2026-03-02T18:04:02.000Z{allHorizonsFailed=true,targetPrice=67663.791}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T17:33:22.000Z,2026-03-01T17:49:52.000Z,-,65895.75,66105.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T17:33:22.000Z{buyPressure=0.575,askRefillScore=0.497,upMovePct=0.000,absorbScore=0.632,rangeCompression=true} | confirmed@2026-03-01T17:49:52.000Z{cyclesSeen=45.000,ageMin=16.500,defendedPersistenceSec=990.000,oppositeThinning=0.504,voidScore=0.047} | invalidate@2026-03-01T18:04:43.000Z{mid=66449.850,zoneLow=65895.750,zoneHigh=66105.950}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T20:08:29.000Z,2026-03-01T20:49:29.000Z,-,65054.649999999994,65828.34772500001,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T20:08:29.000Z{buyPressure=0.562,askRefillScore=0.479,upMovePct=0.000,absorbScore=0.619,rangeCompression=true} | confirmed@2026-03-01T20:49:29.000Z{cyclesSeen=30.000,ageMin=41.000,defendedPersistenceSec=2460.000,oppositeThinning=0.501,voidScore=0.344} | invalidate@2026-03-01T22:13:09.000Z{mid=66556.750,zoneLow=65054.650,zoneHigh=65828.348}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T20:08:49.000Z,2026-03-01T20:49:29.000Z,-,65054.649999999994,65777.822475,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T20:08:49.000Z{buyPressure=0.562,askRefillScore=0.491,upMovePct=0.000,absorbScore=0.618,rangeCompression=true} | confirmed@2026-03-01T20:49:29.000Z{cyclesSeen=10.000,ageMin=40.667,defendedPersistenceSec=2440.000,oppositeThinning=0.501,voidScore=0.344} | invalidate@2026-03-01T22:13:09.000Z{mid=66556.750,zoneLow=65054.650,zoneHigh=65777.822}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T20:16:04.000Z,2026-03-01T20:38:03.000Z,2026-03-01T22:13:10.000Z,65054.649999999994,65565.65,66216.5,67540.83,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.418,1.821,,,,,,"candidate@2026-03-01T20:16:04.000Z{sellPressure=0.550,bidRefillScore=0.503,downMovePct=0.000,absorbScore=0.605,rangeCompression=true} | confirmed@2026-03-01T20:38:03.000Z{cyclesSeen=86.000,ageMin=21.983,defendedPersistenceSec=1319.000,oppositeThinning=0.501,voidScore=0.401} | trigger@2026-03-01T22:13:10.000Z{breakPct=0.993,flowMultiplier=1.489,sideFlowOK=true,triggerPrice=66216.500,targetPrice=67540.830} | expire@2026-03-02T22:13:10.000Z{allHorizonsFailed=true,targetPrice=67540.830}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T20:17:51.000Z,2026-03-01T20:38:03.000Z,2026-03-01T22:13:09.000Z,65054.649999999994,65518.850000000006,66556.75,67887.885,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.498,2.322,,,,,,"candidate@2026-03-01T20:17:51.000Z{sellPressure=0.558,bidRefillScore=0.505,downMovePct=0.000,absorbScore=0.614,rangeCompression=true} | confirmed@2026-03-01T20:38:03.000Z{cyclesSeen=28.000,ageMin=20.200,defendedPersistenceSec=1212.000,oppositeThinning=0.501,voidScore=0.401} | trigger@2026-03-01T22:13:09.000Z{breakPct=1.584,flowMultiplier=1.785,sideFlowOK=true,triggerPrice=66556.750,targetPrice=67887.885} | expire@2026-03-02T22:13:09.000Z{allHorizonsFailed=true,targetPrice=67887.885}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T20:38:03.000Z,2026-03-01T21:02:53.000Z,2026-03-01T22:13:09.000Z,65075.05,65352.45,66556.75,67887.885,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.498,2.322,,,,,,"candidate@2026-03-01T20:38:03.000Z{sellPressure=0.576,bidRefillScore=0.504,downMovePct=0.000,absorbScore=0.633,rangeCompression=true} | confirmed@2026-03-01T21:02:53.000Z{cyclesSeen=71.000,ageMin=24.833,defendedPersistenceSec=1490.000,oppositeThinning=0.510,voidScore=0.326} | trigger@2026-03-01T22:13:09.000Z{breakPct=1.843,flowMultiplier=1.859,sideFlowOK=true,triggerPrice=66556.750,targetPrice=67887.885} | expire@2026-03-02T22:13:09.000Z{allHorizonsFailed=true,targetPrice=67887.885}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T20:49:29.000Z,2026-03-01T20:56:04.000Z,-,65128.669375,65352.45,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T20:49:29.000Z{buyPressure=0.615,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.676,rangeCompression=true} | confirmed@2026-03-01T20:56:04.000Z{cyclesSeen=82.000,ageMin=6.583,defendedPersistenceSec=395.000,oppositeThinning=0.499,voidScore=0.263} | invalidate@2026-03-01T21:57:09.000Z{mid=65679.850,zoneLow=65128.669,zoneHigh=65352.450}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-03-01T22:02:57.000Z,2026-03-01T22:05:57.000Z,2026-03-01T22:13:08.000Z,65627.120025,65739.55,65840.75,67157.565,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.591,1.260,,,,,,"candidate@2026-03-01T22:02:57.000Z{sellPressure=0.582,bidRefillScore=0.507,downMovePct=0.000,absorbScore=0.633,rangeCompression=true} | confirmed@2026-03-01T22:05:57.000Z{cyclesSeen=131.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.500,voidScore=0.207} | trigger@2026-03-01T22:13:08.000Z{breakPct=0.154,flowMultiplier=2.841,sideFlowOK=true,triggerPrice=65840.750,targetPrice=67157.565} | expire@2026-03-02T22:13:08.000Z{allHorizonsFailed=true,targetPrice=67157.565}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-01T22:29:18.000Z,2026-03-01T22:32:29.000Z,2026-03-01T22:35:08.000Z,65732.45,65920.45,65264.45,63959.16099999999,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.388,1.208,,,,,,"candidate@2026-03-01T22:29:18.000Z{buyPressure=0.620,askRefillScore=0.496,upMovePct=0.000,absorbScore=0.682,rangeCompression=true} | confirmed@2026-03-01T22:32:29.000Z{cyclesSeen=127.000,ageMin=3.183,defendedPersistenceSec=191.000,oppositeThinning=0.502,voidScore=0.158} | trigger@2026-03-01T22:35:08.000Z{breakPct=0.712,flowMultiplier=1.404,sideFlowOK=true,triggerPrice=65264.450,targetPrice=63959.161} | expire@2026-03-02T22:35:08.000Z{allHorizonsFailed=true,targetPrice=63959.161}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,NO_TRIGGER,2026-03-01T22:51:50.000Z,2026-03-01T23:17:00.000Z,-,65100.5,66052.55,,,no_trigger,no_trigger,no_trigger,,,,,,,,"candidate@2026-03-01T22:51:50.000Z{buyPressure=0.562,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.618,rangeCompression=true} | confirmed@2026-03-01T23:17:00.000Z{cyclesSeen=14.000,ageMin=25.167,defendedPersistenceSec=1510.000,oppositeThinning=0.501,voidScore=0.239} | expire@2026-03-01T23:59:59.988Z{reason=End of replay; no trigger seen}"
