zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,SHORT,,,1754006849000,1754007146000,1754087642567,,,115380.05,,,,,,,1,true,false
,SHORT,,,1754008384000,1754009397000,1754088126102,,,115190.15,,,,,,,1,false,true
,LONG,,,1754007867000,,1754009470000,,,,,,,,,,,,
,SHORT,,,1754010980000,,1754014278000,,,,,,,,,,,,
,SHORT,,,1754011614000,,1754015737000,,,,,,,,,,,,
,SHORT,,,1754011834000,,1754015861000,,,,,,,,,,,,
,SHORT,,,1754016972000,1754017403000,1754076079452,,,115753.55,,,,,,,1,false,true
,LONG,,,1754016630000,,1754021440000,,,,,,,,,,,,
,LONG,,,1754016407000,,1754032202000,,,,,,,,,,,,
,SHORT,,,1754030959000,1754032403000,1754118803000,,,114893.05,,,,,,,,,
,SHORT,,,1754031139000,1754032435000,1754118835000,,,114848.75,,,,,,,,,
,SHORT,,,1754034928000,1754035559000,1754121959000,,,114533.05,,,,,,,,,
,SHORT,,,1754032964000,1754035574000,1754121974000,,,114455.25,,,,,,,,,
,SHORT,,,1754034062000,1754035574000,1754121974000,,,114455.25,,,,,,,,,
,SHORT,,,1754037169000,1754037335000,1754123735000,,,114189.55,,,,,,,,,
,LONG,,,1754052231000,1754052298000,1754138698000,,,115836.25,,,,,,,,,
,LONG,,,1754052165000,1754052511000,1754138911000,,,115810.05,,,,,,,,,
,LONG,,,1754054715000,,1754055921000,,,,,,,,,,,,
,LONG,,,1754012101000,,1754056998000,,,,,,,,,,,,
,LONG,,,1754063402000,1754064524000,1754150924000,,,115625.05,,,,,,,,,
,LONG,,,1754061338000,1754064618000,1754151018000,,,115667.45,,,,,,,,,
,SHORT,,,1754069149000,1754069890000,1754156290000,,,114400.85,,,,,,,,,
,LONG,,,1754062440000,,1754072073000,,,,,,,,,,,,
,LONG,,,1754037840000,,1754072220000,,,,,,,,,,,,
,LONG,,,1754037840000,,1754072222000,,,,,,,,,,,,
,SHORT,,,1754072565000,1754075798000,1754162198000,,,113580.85,,,,,,,,,
,SHORT,,,1754077118000,1754077448000,1754163848000,,,113201.25,,,,,,,,,
,SHORT,,,1754076743000,1754077481000,1754163881000,,,113170.05,,,,,,,,,
,SHORT,,,1754076791000,1754078890000,1754165290000,,,113130.45,,,,,,,,,
,LONG,,,1754072306000,,1754087647000,,,,,,,,,,,,
,SHORT,,,1754080169000,1754087647000,1754174047000,,,113045.15,,,,,,,,,
,SHORT,,,1754073706000,,,,,,,,,,,,,,
,LONG,,,1754077624000,,,,,,,,,,,,,,
,LONG,,,1754088143000,,,,,,,,,,,,,,
,SHORT,,,1754089316000,,,,,,,,,,,,,,
