date,round,venue,symbol,regime_bucket,day_return_pct,range_pct,target_2pct_feasible,zone_id,direction,zoneType,status,startTs,confirmedTs,triggerTs,resolvedTs,triggered,reached_raw,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit,moveClusterSize,class_label,feat__cand_pressure_against,feat__cand_absorb_score,feat__cand_refill_with,feat__conf_cycles_seen,feat__conf_age_min,feat__conf_defended_persistence_sec,feat__candidate_to_confirm_min,feat__confirm_to_trigger_min,feat__total_pre_trigger_min,feat__trig_flow_multiplier,feat__trig_break_pct,feat__score_absorption,feat__cand_prior_move_pct,feat__cand_range_compression,feat__conf_opposite_thinning,feat__conf_void_score,feat__trig_side_flow_ok,feat__score_liquidity_void,feat__score_ofi,feat__score_refill,feat__score_trigger,feat__zone_width_pct,feat__target_distance_pct,feat__n_quality_flags
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704080147000-12,SHORT,DISTRIBUTION,RESOLVED_FAILED,1704080147000,1704081231000,1704088258000,1704174658000,True,False,,,,,failed_triggered,0.5989109087662917,0.658801999642921,0.5010425282222783,8.0,18.066666666666666,1084.0,18.066666666666666,117.11666666666666,135.18333333333334,1.403722549544724,0.06105735723406126,0.6659790230051573,0.0,1.0,0.500179248803291,1.0,1.0,1.0,0.012938313011680583,0.49982513285081165,0.9677945984448599,0.4683430618844576,2.000000000000001,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704088839000-16,LONG,ACCUMULATION,RESOLVED_REACHED,1704088839000,1704089427000,1704092643000,1704137561068,True,True,1,False,True,13,duplicate_reached_move,0.5540617361150588,0.6094679097265647,0.49973475341996354,140.0,9.8,588.0,9.8,53.6,63.4,1.411119322380763,0.4234499592972836,0.6072028853452801,0.0,1.0,0.49928061436280613,1.0,1.0,1.0,0.002662071555599739,0.5004455582143293,0.970607864933053,0.2373821703269885,2.000000000000009,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704082839000-14,SHORT,DISTRIBUTION,INVALIDATED,1704082839000,1704083287000,,1704096104000,False,False,,,,,invalidated_or_expired,0.5510318051271141,0.6061349856398256,0.5003059818891564,12.0,7.466666666666667,448.0,7.466666666666667,,,,,0.6173701473433648,0.0,1.0,0.49934634499647124,1.0,,1.0,-0.07219051126250536,0.5000823964034534,,0.25821559981436804,,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704097253000-18,SHORT,DISTRIBUTION,RESOLVED_FAILED,1704097253000,1704097493000,1704098063000,1704184463000,True,False,,,,,failed_triggered,0.5506482982171799,0.6057131280388979,0.49967738295568914,13.0,4.0,240.0,4.0,9.5,13.5,2.2913290113452187,0.05489447655050323,0.7292837858085544,0.0,1.0,0.5012863065041173,1.0,1.0,1.0,0.0518897414038079,0.5001422709437805,1.0,0.11471752257487479,2.000000000000006,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704088573000-15,SHORT,DISTRIBUTION,INVALIDATED,1704088573000,1704090096000,,1704099683000,False,False,,,,,invalidated_or_expired,0.6735851873973421,0.7409437061370764,0.4997512296938709,4.0,25.383333333333333,1523.0,25.383333333333333,,,,,0.787070551634162,0.0,1.0,0.5001575428295155,1.0,,1.0,-0.04463049470101839,0.5005202590677806,,0.423462651613398,,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704081231000-13,SHORT,DISTRIBUTION,INVALIDATED,1704081231000,1704082805000,,1704100646000,False,False,,,,,invalidated_or_expired,0.6054354754592339,0.6659790230051573,0.49982513285081165,78.0,26.233333333333334,1574.0,26.233333333333334,,,,,0.6132933013077129,0.0,1.0,0.49992305993842223,1.0,,1.0,0.014144445537734921,0.49962749132541956,,0.33272475782206284,,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704102374000-20,LONG,ACCUMULATION,RESOLVED_REACHED,1704102374000,1704102580000,1704105892000,1704139217050,True,True,1,False,True,13,duplicate_reached_move,0.6811241348127022,0.6962071725987528,0.5002610035749909,108.0,3.433333333333333,206.0,3.433333333333333,55.2,58.63333333333333,1.5058954471148829,0.07844523878379439,0.6240393736530634,0.001523379183161108,1.0,0.5002104098487191,1.0,1.0,1.0,0.021284615475222916,0.5001544570945053,1.0,0.14492362782768844,2.000000000000001,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704102458000-21,LONG,ACCUMULATION,RESOLVED_REACHED,1704102458000,1704102831000,1704105910000,1704139217056,True,True,1,False,True,13,duplicate_reached_move,0.5574433656957929,0.6131877022653722,0.5001846460683719,48.0,6.216666666666667,373.0,6.216666666666667,51.31666666666667,57.53333333333333,2.2194073624595467,0.05044328007954391,0.6427289719626169,0.0,1.0,0.49986926027988154,1.0,1.0,1.0,0.04127415070272548,0.5002031747589089,1.0,0.19900806704122262,2.000000000000008,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704095726000-17,SHORT,DISTRIBUTION,INVALIDATED,1704095726000,1704097253000,,1704106282000,False,False,,,,,invalidated_or_expired,0.5584994138335287,0.6143493552168817,0.4997032858006802,18.0,25.45,1527.0,25.45,,,,,0.6057131280388979,0.0,1.0,0.49941994020767744,1.0,,1.0,0.046644626181776,0.49967738295568914,,0.20568405318275254,,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-SHORT-1704107296000-22,SHORT,DISTRIBUTION,RESOLVED_FAILED,1704107296000,1704107531000,1704108285000,1704194685000,True,False,,,,,failed_triggered,0.5500181884321571,0.6050200072753729,0.5000484302823024,3.0,3.9166666666666665,235.0,3.9166666666666665,12.566666666666666,16.483333333333334,1.4159896528030396,0.15018519991365128,0.6005465999629424,0.0,1.0,0.4998755152222302,1.0,1.0,1.0,0.08250319284802043,0.4999442359343639,0.9732768984335953,0.10005002501251758,2.000000000000006,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704109801000-24,LONG,ACCUMULATION,RESOLVED_REACHED,1704109801000,1704109981000,1704111733000,1704138850152,True,True,1,False,True,13,duplicate_reached_move,0.7178279324981882,0.6023705909480107,0.4998675537306228,176.0,3.0,180.0,3.0,29.2,32.2,1.400507298892225,0.08693013605387752,0.8037348465308228,0.006216775440690684,1.0,0.4998186979081167,1.0,1.0,1.0,0.020933564265400818,0.5002722845642449,0.9668874649680139,0.17677772666519492,1.9999999999999987,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704107882000-23,LONG,ACCUMULATION,RESOLVED_REACHED,1704107882000,1704108347000,1704112794000,1704139249414,True,True,1,False,True,13,duplicate_reached_move,0.5620886671006002,0.6182975338106603,0.5002224974147788,47.0,7.75,465.0,7.75,74.11666666666666,81.86666666666666,5.568380704418891,0.05618999132407156,0.6022825978048028,0.0,1.0,0.4994787090817003,1.0,1.0,1.0,0.10183170304016226,0.5014757426750518,1.0,0.21459274864927963,2.00000000000001,0.0
2024-01-01,calibration,okx-swap,BTC-USDT-SWAP,bullish,4.545,4.901,True,BTC-USDT-SWAP-LONG-1704124400000-25,LONG,ACCUMULATION,RESOLVED_REACHED,1704124400000,1704126723000,1704132175000,1704140007560,True,True,1,False,True,13,duplicate_reached_move,0.5878088435192835,0.6465897278712119,0.4997317733834951,63.0,38.71666666666667,2323.0,38.71666666666667,90.86666666666666,129.58333333333334,1.5783203177056957,0.054568286730681426,0.6016073636488529,0.0,1.0,0.5001090547628976,1.0,1.0,1.0,0.13165458476408495,0.4997668442859849,1.0,0.48506094310375736,2.0000000000000093,0.0
