zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1725149074000,1725149279000,1725235679000,,,59032.95,,,,,,,,,
,SHORT,,,1725149792000,1725153385000,1725200071596,,,58890.95,,,,,,,1,true,false
,SHORT,,,1725153906000,1725155916000,1725200071631,,,58831.95,,,,,,,1,false,true
,SHORT,,,1725153906000,1725155916000,1725200071631,,,58831.95,,,,,,,1,false,true
,SHORT,,,1725156306000,1725156467000,1725200073685,,,58623.149999999994,,,,,,,1,false,true
,LONG,,,1725155203000,,1725156468000,,,,,,,,,,,,
,SHORT,,,1725156873000,1725157266000,1725200076103,,,58488.75,,,,,,,1,false,true
,SHORT,,,1725157065000,1725157266000,1725200076103,,,58488.75,,,,,,,1,false,true
,LONG,,,1725157168000,,1725157765000,,,,,,,,,,,,
,LONG,,,1725160379000,1725160446000,1725246846000,,,58580.45,,,,,,,,,
,SHORT,,,1725159006000,1725163539000,1725200076552,,,58389.95,,,,,,,1,false,true
,LONG,,,1725163037000,,1725168172000,,,,,,,,,,,,
,SHORT,,,1725168006000,1725168174000,1725254574000,,,58180.850000000006,,,,,,,,,
,LONG,,,1725159745000,,1725168259000,,,,,,,,,,,,
,LONG,,,1725167855000,,1725168332000,,,,,,,,,,,,
,LONG,,,1725172691000,1725173100000,1725259500000,,,58242.149999999994,,,,,,,,,
,LONG,,,1725174128000,1725176727000,1725263127000,,,58339.850000000006,,,,,,,,,
,LONG,,,1725170464000,1725176833000,1725263233000,,,58382.149999999994,,,,,,,,,
,LONG,,,1725169814000,1725176846000,1725263246000,,,58439.649999999994,,,,,,,,,
,SHORT,,,1725171614000,,1725176866000,,,,,,,,,,,,
,SHORT,,,1725182085000,1725185189000,1725271589000,,,58126.55,,,,,,,,,
,LONG,,,1725178961000,,1725185502000,,,,,,,,,,,,
,LONG,,,1725179746000,,1725188279000,,,,,,,,,,,,
,SHORT,,,1725187004000,1725188470000,1725274870000,,,57880.05,,,,,,,,,
,SHORT,,,1725186616000,1725188474000,1725274874000,,,57874.55,,,,,,,,,
,LONG,,,1725192657000,,1725194587000,,,,,,,,,,,,
,SHORT,,,1725197658000,1725197903000,1725284303000,,,57875.649999999994,,,,,,,,,
,LONG,,,1725199091000,,1725200074000,,,,,,,,,,,,
,LONG,,,1725199091000,,1725200074000,,,,,,,,,,,,
,LONG,,,1725208282000,1725215031000,1725301431000,,,58360.05,,,,,,,,,
,SHORT,,,1725202180000,,1725215194000,,,,,,,,,,,,
,SHORT,,,1725202180000,,1725215194000,,,,,,,,,,,,
,LONG,,,1725217712000,,1725219554000,,,,,,,,,,,,
,LONG,,,1725217582000,,1725219643000,,,,,,,,,,,,
,LONG,,,1725218033000,,1725225657000,,,,,,,,,,,,
,LONG,,,1725217000000,,1725225730000,,,,,,,,,,,,
,SHORT,,,1725219340000,1725225730000,1725312130000,,,58173.350000000006,,,,,,,,,
,LONG,,,1725225024000,,1725228794000,,,,,,,,,,,,
,LONG,,,1725226171000,,1725229205000,,,,,,,,,,,,
,SHORT,,,1725231174000,,,,,,,,,,,,,,
,LONG,,,1725233947000,,,,,,,,,,,,,,
,LONG,,,1725233990000,,,,,,,,,,,,,,
