id,date,direction,status,class,isPrimaryMoveZone,duplicateMoveCredit,uniqueMoveId,zone_score_v1_raw,zone_score_v1_z,zone_score_v1_bucket,zone_score_v1_coverage,feat_cand_pressure_against,feat_cand_absorb_score,feat_cand_refill_with,feat_conf_cycles_seen,feat_conf_age_min,feat_conf_defended_persistence_sec,feat_candidate_to_confirm_min,feat_confirm_to_trigger_min,feat_total_pre_trigger_min,feat_trig_flow_multiplier,feat_trig_break_pct,feat_score_absorption,comp_cand_pressure_against,comp_cand_absorb_score,comp_cand_refill_with,comp_conf_cycles_seen,comp_conf_age_min,comp_conf_defended_persistence_sec,comp_candidate_to_confirm_min,comp_confirm_to_trigger_min,comp_total_pre_trigger_min,comp_trig_flow_multiplier,comp_trig_break_pct,comp_score_absorption
BTC-USDT-SWAP-SHORT-1759277930000-2,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,-18.62603211180831,-3.387424728991814,low,1.0,0.6218708132540058,0.6840578945794065,0.49722242831784913,143.0,3.0,180.0,3.0,4.2,7.2,1.4763676637977257,0.05248925736556023,0.6550709590010275,-0.3557101051812913,-0.38375647885904707,0.21430286660499298,-76.79100000000001,1.014,60.84,1.014,-1.7934,-2.736,0.5787361242087085,-0.016271669783323672,-0.21093284879833088
BTC-USDT-SWAP-LONG-1759279863000-4,2025-10-01,LONG,RESOLVED_REACHED,primary_unique_reached_move,True,False,1,609.8023513253811,2.940649884150104,high,1.0,0.554224798405528,0.6096472782460808,0.5002418381782278,102.0,33.03333333333333,1982.0,33.03333333333333,19.216666666666665,52.25,2.732351722162322,0.05989304064726453,0.679366143613219,-0.31701658468796196,-0.34201212309605133,0.21560423225481617,-54.774,11.165266666666668,669.916,11.165266666666668,-8.205516666666666,-19.855,1.0710818750876303,-0.018566842600652004,-0.21875589824345654
BTC-USDT-SWAP-LONG-1759281845000-5,2025-10-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,-130.93874688698423,-4.493635306458133,low,1.0,0.6757182367783889,0.679366143613219,0.5011630847691411,180.0,3.0,180.0,3.0,118.6,121.6,1.420958402613669,0.15911822864095165,0.7844782032961057,-0.38651083143723847,-0.3811244065670159,0.2160012895354998,-96.66000000000001,1.014,60.84,1.014,-50.642199999999995,-46.208,0.5570156938245583,-0.04932665087869501,-0.25260198146134605
BTC-USDT-SWAP-LONG-1759283655000-7,2025-10-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,97.7985655539141,0.5234124860424003,high,1.0,0.5633635609463057,0.6196999170409363,0.4996984097557193,20.0,10.933333333333334,656.0,10.933333333333334,144.95,155.88333333333333,3.15999799753987,0.058515309395331616,0.6742390874506228,-0.3222439568612868,-0.3476516534599653,0.215370014604715,-10.74,3.695466666666667,221.728,3.695466666666667,-61.893649999999994,-59.23566666666667,1.238719215035629,-0.0181397459125528,-0.21710498615910054
BTC-USDT-SWAP-SHORT-1759283264000-6,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,656.4898505137581,2.7512949847157477,high,1.0,0.5576950418418863,0.613464546026075,0.4991164305765498,12.0,38.31666666666667,2299.0,38.31666666666667,155.35,193.66666666666666,1.4266733978011632,0.05139044609009552,0.6140427346261478,-0.31900156393355894,-0.34415361032062813,0.21511918157849297,-6.444000000000001,12.951033333333335,777.062,12.951033333333335,-66.33444999999999,-73.59333333333333,0.559255971938056,-0.015931038287929612,-0.1977217605496196
BTC-USDT-SWAP-LONG-1759293679000-8,2025-10-01,LONG,RESOLVED_REACHED,duplicate_reached_move,False,True,1,35.77950286651584,1.6843842801764712,high,1.0,0.5500903174738941,0.6050993492212836,0.5029548856455162,18.0,3.3,198.0,3.3,27.65,30.95,1.4094944251067605,0.05019144358636009,0.749598632979078,-0.3146516615950674,-0.33946073491314016,0.21677355571321746,-9.666,1.1154,66.924,1.1154,-11.80655,-11.761,0.5525218146418501,-0.015559347511771626,-0.24137075981926312
BTC-USDT-SWAP-SHORT-1759296083000-9,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,-39.04627651962536,-0.11084804513552152,mid,1.0,0.5947332737793093,0.6542066011572403,0.5023264265563138,58.0,3.0,180.0,3.0,86.06666666666666,89.06666666666666,1.5019915719235812,0.22693303576706556,0.6217805239950795,-0.34018743260176487,-0.36700990324921184,0.21650268984577123,-31.146,1.014,60.84,1.014,-36.75046666666666,-33.84533333333333,0.5887806961940438,-0.07034924108779032,-0.20021332872641562
BTC-USDT-SWAP-SHORT-1759278535000-3,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,154.23888159268864,0.11602955443518306,mid,0.6666666666666666,0.5800912959731013,0.6381004255704115,0.4998968828879482,66.0,9.083333333333334,545.0,9.083333333333334,,,,,0.605965022136,-0.3318122212966139,-0.35797433874500084,0.21545555652470566,-35.442,3.070166666666667,184.21,3.070166666666667,,,,,-0.19512073712779202
BTC-USDT-SWAP-SHORT-1759277417000-1,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,-7.105083576475747,0.2772315956701268,mid,0.6666666666666666,0.5863679295044225,0.6450047224548648,0.5043708848183349,129.0,3.0,180.0,3.0,,,,,0.6839047293749417,-0.33540245567652965,-0.3618476492971792,0.21738385135670235,-69.27300000000001,1.014,60.84,1.014,,,,,-0.22021732285873125
BTC-USDT-SWAP-SHORT-1759307113000-10,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,198.6052863522742,-1.8524730198346093,low,0.6666666666666666,0.6757550682281617,0.7433305750509779,0.5002281931750494,30.0,10.283333333333333,617.0,10.283333333333333,,,,,0.6034316170419012,-0.3865318990265084,-0.41700845260359864,0.21559835125844629,-16.11,3.475766666666667,208.54600000000002,3.475766666666667,,,,,-0.1943049806874922
BTC-USDT-SWAP-SHORT-1759307148000-11,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,200.3878502489835,-0.8871739261108209,low,0.6666666666666666,0.637770737417529,0.701547811159282,0.49960188755024637,4.0,9.7,582.0,9.7,,,,,0.6034316170419012,-0.36480486180282656,-0.39356832206035725,0.2153284135341562,-2.148,3.2786,196.716,3.2786,,,,,-0.1943049806874922
BTC-USDT-SWAP-SHORT-1759312687000-18,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,112.61024070587482,1.8659084592645594,high,1.0,0.5922520241450224,0.6233514443022244,0.5044187094410795,111.0,8.683333333333334,521.0,8.683333333333334,7.816666666666666,16.5,1.4305267761719054,0.074396120082179,0.6509807625166926,-0.3387681578109528,-0.34970016025354794,0.21740446376910524,-59.607000000000006,2.934966666666667,176.098,2.934966666666667,-3.3377166666666667,-6.2700000000000005,0.5607664962593869,-0.02306279722547549,-0.209615805530375
BTC-USDT-SWAP-LONG-1759311456000-16,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-57.1890263842314,0.20637372152891958,mid,1.0,0.5510647546256211,0.6061712300881833,0.5000635444686792,12.0,3.0,180.0,3.0,139.18333333333334,142.18333333333334,1.4011270041198718,0.21497335798429354,0.6053811081115974,-0.3152090396458552,-0.3400620600794709,0.2155273876660007,-6.444000000000001,1.014,60.84,1.014,-59.43128333333333,-54.02966666666667,0.5492417856149897,-0.066641740975131,-0.19493271681193436
