zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1775002147000,1775004664000,1775091064000,,,68268.95,,,,,,,,,
,LONG,,,1775003627000,1775004667000,1775091067000,,,68276.55,,,,,,,,,
,LONG,,,1775004098000,1775004722000,1775091122000,,,68235.15,,,,,,,,,
,SHORT,,,1775005657000,1775007286000,1775093686000,,,67875.45,,,,,,,,,
,LONG,,,1775005181000,,1775007322000,,,,,,,,,,,,
,LONG,,,1775005422000,,1775007322000,,,,,,,,,,,,
,SHORT,,,1775004555000,1775007328000,1775093728000,,,67790.35,,,,,,,,,
,SHORT,,,1775009236000,1775010416000,1775096816000,,,67655.35,,,,,,,,,
,LONG,,,1775010166000,1775012935000,1775027408182,,,67911.65,,,,,,,1,true,false
,LONG,,,1775011031000,1775012991000,1775099391000,,,68077.95,,,,,,,,,
,SHORT,,,1775012113000,,1775012991000,,,,,,,,,,,,
,LONG,,,1775021687000,1775024402000,1775110802000,,,68768.15,,,,,,,,,
,LONG,,,1775021507000,1775024456000,1775110856000,,,68777.45,,,,,,,,,
,SHORT,,,1775023625000,,1775025014000,,,,,,,,,,,,
,LONG,,,1775025721000,1775025879000,1775112279000,,,69171.75,,,,,,,,,
,SHORT,,,1775024985000,,1775025902000,,,,,,,,,,,,
,LONG,,,1775026337000,,1775030147000,,,,,,,,,,,,
,LONG,,,1775026337000,,1775030368000,,,,,,,,,,,,
,SHORT,,,1775025586000,1775034614000,1775121014000,,,68438.15,,,,,,,,,
,LONG,,,1775035662000,1775047498000,1775133898000,,,68674.15,,,,,,,,,
,SHORT,,,1775032268000,1775050970000,1775137370000,,,68164.85,,,,,,,,,
,SHORT,,,1775031186000,1775050987000,1775137387000,,,68065.05,,,,,,,,,
,SHORT,,,1775031186000,1775050993000,1775137393000,,,68036.95,,,,,,,,,
,LONG,,,1775049466000,,1775051000000,,,,,,,,,,,,
,SHORT,,,1775027464000,1775051068000,1775137468000,,,68057.95,,,,,,,,,
,LONG,,,1775053081000,1775053352000,1775139752000,,,68477.15,,,,,,,,,
,LONG,,,1775049466000,1775057101000,1775143501000,,,68819.65,,,,,,,,,
,SHORT,,,1775047977000,,1775058836000,,,,,,,,,,,,
,LONG,,,1775058770000,1775058836000,1775145236000,,,68904.95,,,,,,,,,
,SHORT,,,1775065602000,1775066282000,1775152682000,,,68238.05,,,,,,,,,
