metric,value
zones_total,34
zones_triggered,20
zones_reached,3
hit_rate_among_triggered,0.15
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,14091
suppressions_active_open,9122
suppressions_active_triggered,4952
suppressions_cooldown,17
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,3
unique_reached_moves,1
duplicate_move_credits,2
raw_triggered_hit_rate,0.15
unique_move_adjusted_hit_rate,0.05
status_RESOLVED_FAILED,17
direction_LONG,18
status_RESOLVED_REACHED,3
direction_SHORT,16
status_INVALIDATED,11
status_NO_TRIGGER,3
