zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1775002147000,1775004664000,1775091064000,,,68268.95,,,,,,,,,
,LONG,,,1775003627000,1775004667000,1775091067000,,,68276.55,,,,,,,,,
,LONG,,,1775004098000,1775004722000,1775091122000,,,68235.15,,,,,,,,,
,SHORT,,,1775005657000,1775007286000,1775093686000,,,67875.45,,,,,,,,,
,LONG,,,1775005181000,,1775007322000,,,,,,,,,,,,
,LONG,,,1775005422000,,1775007322000,,,,,,,,,,,,
,SHORT,,,1775004555000,1775007328000,1775093728000,,,67790.35,,,,,,,,,
,SHORT,,,1775009236000,1775010416000,1775096816000,,,67655.35,,,,,,,,,
,LONG,,,1775010166000,,,,,,,,,,,,,,
,LONG,,,1775011031000,,,,,,,,,,,,,,
,SHORT,,,1775012113000,,,,,,,,,,,,,,
