metric,value
zones_total,32
zones_triggered,18
zones_reached,7
hit_rate_among_triggered,0.3888888888888889
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10886
suppressions_active_open,7793
suppressions_active_triggered,3093
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,2
duplicate_move_credits,5
raw_triggered_hit_rate,0.3888888888888889
unique_move_adjusted_hit_rate,0.1111111111111111
status_RESOLVED_REACHED,7
direction_LONG,12
status_RESOLVED_FAILED,11
direction_SHORT,20
status_INVALIDATED,10
status_NO_TRIGGER,4
