metric,value
zones_total,51
zones_triggered,27
zones_reached,7
hit_rate_among_triggered,0.25925925925925924
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11913
suppressions_active_open,10042
suppressions_active_triggered,1621
suppressions_cooldown,250
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.25925925925925924
unique_move_adjusted_hit_rate,0.037037037037037035
status_RESOLVED_REACHED,7
direction_SHORT,26
status_RESOLVED_FAILED,20
direction_LONG,25
status_INVALIDATED,20
status_EXPIRED,1
status_NO_TRIGGER,3
