metric,value
zones_total,29
zones_triggered,13
zones_reached,5
hit_rate_among_triggered,0.38461538461538464
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10367
suppressions_active_open,7576
suppressions_active_triggered,2791
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,5
unique_reached_moves,1
duplicate_move_credits,4
raw_triggered_hit_rate,0.38461538461538464
unique_move_adjusted_hit_rate,0.07692307692307693
status_RESOLVED_FAILED,8
direction_LONG,18
status_RESOLVED_REACHED,5
direction_SHORT,11
status_INVALIDATED,13
status_NO_TRIGGER,3
