metric,value
zones_total,37
zones_triggered,24
zones_reached,8
hit_rate_among_triggered,0.3333333333333333
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11431
suppressions_active_open,4998
suppressions_active_triggered,6433
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.3333333333333333
unique_move_adjusted_hit_rate,0.041666666666666664
status_RESOLVED_FAILED,16
direction_SHORT,18
status_INVALIDATED,13
direction_LONG,19
status_RESOLVED_REACHED,8
