metric,value
zones_total,42
zones_triggered,20
zones_reached,7
hit_rate_among_triggered,0.35
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10705
suppressions_active_open,7110
suppressions_active_triggered,3595
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.35
unique_move_adjusted_hit_rate,0.05
status_RESOLVED_FAILED,13
direction_LONG,25
status_RESOLVED_REACHED,7
direction_SHORT,17
status_INVALIDATED,19
status_NO_TRIGGER,3
