metric,value
zones_total,54
zones_triggered,32
zones_reached,15
hit_rate_among_triggered,0.46875
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8931
suppressions_active_open,5614
suppressions_active_triggered,3302
suppressions_cooldown,15
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,15
unique_reached_moves,1
duplicate_move_credits,14
raw_triggered_hit_rate,0.46875
unique_move_adjusted_hit_rate,0.03125
status_RESOLVED_FAILED,17
direction_SHORT,24
status_RESOLVED_REACHED,15
direction_LONG,30
status_INVALIDATED,18
status_EXPIRED,1
status_NO_TRIGGER,3
