metric,value
zones_total,27
zones_triggered,14
zones_reached,7
hit_rate_among_triggered,0.5
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,23680
suppressions_active_open,19817
suppressions_active_triggered,3863
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.5
unique_move_adjusted_hit_rate,0.07142857142857142
status_RESOLVED_REACHED,7
direction_SHORT,14
status_EXPIRED,2
direction_LONG,13
status_INVALIDATED,7
status_RESOLVED_FAILED,7
status_NO_TRIGGER,4
