metric,value
zones_total,42
zones_triggered,25
zones_reached,14
hit_rate_among_triggered,0.56
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,7599
suppressions_active_open,4397
suppressions_active_triggered,3130
suppressions_cooldown,72
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,14
unique_reached_moves,3
duplicate_move_credits,11
raw_triggered_hit_rate,0.56
unique_move_adjusted_hit_rate,0.12
status_RESOLVED_REACHED,14
direction_SHORT,19
status_INVALIDATED,13
direction_LONG,23
status_RESOLVED_FAILED,11
status_EXPIRED,2
status_NO_TRIGGER,2
