metric,value
zones_total,44
zones_triggered,28
zones_reached,8
hit_rate_among_triggered,0.2857142857142857
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,16053
suppressions_active_open,12816
suppressions_active_triggered,3237
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.2857142857142857
unique_move_adjusted_hit_rate,0.03571428571428571
status_RESOLVED_REACHED,8
direction_LONG,25
status_INVALIDATED,13
direction_SHORT,19
status_RESOLVED_FAILED,20
status_EXPIRED,2
status_NO_TRIGGER,1
