metric,value
zones_total,38
zones_triggered,20
zones_reached,13
hit_rate_among_triggered,0.65
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10744
suppressions_active_open,8065
suppressions_active_triggered,2679
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,13
unique_reached_moves,1
duplicate_move_credits,12
raw_triggered_hit_rate,0.65
unique_move_adjusted_hit_rate,0.05
status_RESOLVED_FAILED,7
direction_LONG,19
status_INVALIDATED,17
direction_SHORT,19
status_RESOLVED_REACHED,13
status_NO_TRIGGER,1
