metric,value
zones_total,37
zones_triggered,21
zones_reached,7
hit_rate_among_triggered,0.3333333333333333
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10031
suppressions_active_open,3397
suppressions_cooldown,37
suppressions_active_triggered,6597
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.3333333333333333
unique_move_adjusted_hit_rate,0.047619047619047616
status_RESOLVED_REACHED,7
direction_LONG,16
status_INVALIDATED,14
direction_SHORT,21
status_RESOLVED_FAILED,14
status_NO_TRIGGER,2
