metric,value
zones_total,29
zones_triggered,22
zones_reached,7
hit_rate_among_triggered,0.3181818181818182
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9852
suppressions_active_open,4673
suppressions_active_triggered,5179
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,3
duplicate_move_credits,4
raw_triggered_hit_rate,0.3181818181818182
unique_move_adjusted_hit_rate,0.13636363636363635
status_RESOLVED_REACHED,7
direction_LONG,12
status_INVALIDATED,6
direction_SHORT,17
status_RESOLVED_FAILED,15
status_NO_TRIGGER,1
