metric,value
zones_total,40
zones_triggered,23
zones_reached,9
hit_rate_among_triggered,0.391304347826087
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9621
suppressions_active_open,8213
suppressions_active_triggered,1408
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,9
unique_reached_moves,1
duplicate_move_credits,8
raw_triggered_hit_rate,0.391304347826087
unique_move_adjusted_hit_rate,0.043478260869565216
status_RESOLVED_REACHED,9
direction_LONG,23
status_INVALIDATED,13
direction_SHORT,17
status_RESOLVED_FAILED,14
status_EXPIRED,2
status_NO_TRIGGER,2
