metric,value
zones_total,43
zones_triggered,18
zones_reached,8
hit_rate_among_triggered,0.4444444444444444
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,12361
suppressions_active_open,8344
suppressions_active_triggered,4017
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.4444444444444444
unique_move_adjusted_hit_rate,0.05555555555555555
status_RESOLVED_REACHED,8
direction_SHORT,19
status_INVALIDATED,22
direction_LONG,24
status_RESOLVED_FAILED,10
status_NO_TRIGGER,3
