metric,value
zones_total,44
zones_triggered,21
zones_reached,6
hit_rate_among_triggered,0.2857142857142857
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11082
suppressions_active_open,9747
suppressions_cooldown,181
suppressions_active_triggered,1154
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,6
unique_reached_moves,1
duplicate_move_credits,5
raw_triggered_hit_rate,0.2857142857142857
unique_move_adjusted_hit_rate,0.047619047619047616
status_EXPIRED,3
direction_SHORT,25
status_RESOLVED_REACHED,6
direction_LONG,19
status_RESOLVED_FAILED,15
status_INVALIDATED,18
status_NO_TRIGGER,2
