metric,value
zones_total,29
zones_triggered,15
zones_reached,3
hit_rate_among_triggered,0.2
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8494
suppressions_active_open,7015
suppressions_active_triggered,1479
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,3
unique_reached_moves,1
duplicate_move_credits,2
raw_triggered_hit_rate,0.2
unique_move_adjusted_hit_rate,0.06666666666666667
status_RESOLVED_FAILED,12
direction_SHORT,10
status_INVALIDATED,7
direction_LONG,19
status_RESOLVED_REACHED,3
status_EXPIRED,2
status_NO_TRIGGER,5
