gate,blocker,orig_activation_pct,after_activation_pct,retention_pct,kept_n
g6A,b10A,5.8,5.3,90.8,138
g6A,b10B,5.8,4.2,71.7,109
g6A,b10C,5.8,5.5,94.7,144
g6A,b10D,5.8,5.6,96.7,147
g6A,b10E,5.8,4.7,80.9,123
g6A,b10F,5.8,2.8,47.4,72
g6E,b10A,2.3,2.3,98.3,59
g6E,b10B,2.3,1.6,70.0,42
g6E,b10C,2.3,2.2,96.7,58
g6E,b10D,2.3,2.3,100.0,60
g6E,b10E,2.3,2.3,98.3,59
g6E,b10F,2.3,1.5,65.0,39
