metric,value
zones_total,43
zones_triggered,26
zones_reached,7
hit_rate_among_triggered,0.2692307692307692
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,12402
suppressions_active_open,6393
suppressions_cooldown,1
suppressions_active_triggered,6008
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.2692307692307692
unique_move_adjusted_hit_rate,0.038461538461538464
status_RESOLVED_REACHED,7
direction_SHORT,24
status_INVALIDATED,15
direction_LONG,19
status_RESOLVED_FAILED,19
status_NO_TRIGGER,2
