window_id,direction,bybit_cluster,okx_cluster,lead_lag_min,bybit_state,okx_state,bybit_hit2,okx_hit2,agree_state
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-0,OK-W3_JANUARY-SHORT-0,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-1,OK-W3_JANUARY-SHORT-1,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-2,OK-W3_JANUARY-SHORT-2,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-3,OK-W3_JANUARY-SHORT-3,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-4,OK-W3_JANUARY-SHORT-4,0,DISTRIBUTION_INTO_BOUNCE,DISTRIBUTION_INTO_BOUNCE,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-5,OK-W3_JANUARY-SHORT-5,0,UNKNOWN,UNKNOWN,1,1,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-6,OK-W3_JANUARY-SHORT-6,4,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-7,OK-W3_JANUARY-SHORT-7,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-8,OK-W3_JANUARY-SHORT-8,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,0,0,0
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-9,OK-W3_JANUARY-SHORT-9,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-10,OK-W3_JANUARY-SHORT-11,0,UNKNOWN,UNKNOWN,1,1,1
W3_JANUARY,SHORT,By-W3_JANUARY-SHORT-11,OK-W3_JANUARY-SHORT-12,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W3_JANUARY,LONG,By-W3_JANUARY-LONG-12,OK-W3_JANUARY-LONG-13,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
