cluster_id,exchange,window_id,date,ts_start,direction_candidate,entry_price,future_mfe_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2,time_to_2_5,time_to_3,duplicate_cluster_size,is_primary_cluster
By-W1_NOVEMBER-LONG-27,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T18:09:00+00:00,LONG,84088.55,1.991,0,0,0,0,1,TIMEOUT,,,,3,1
By-W1_NOVEMBER-LONG-28,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T22:36:00+00:00,LONG,84520.75,1.563,0,0,0,0,1,TIMEOUT,,,,2,1
By-W1_NOVEMBER-LONG-29,Bybit,W1_NOVEMBER,2025-11-22,2025-11-22T02:40:00+00:00,LONG,84341.45,0.963,0,0,0,0,1,TIMEOUT,,,,2,1
By-W1_NOVEMBER-LONG-30,Bybit,W1_NOVEMBER,2025-11-22,2025-11-22T08:41:00+00:00,LONG,83962.55,0.778,0,0,0,0,1,TIMEOUT,,,,1,1
By-W1_NOVEMBER-LONG-31,Bybit,W1_NOVEMBER,2025-11-22,2025-11-22T12:27:00+00:00,LONG,83619.25,1.407,0,0,0,0,1,TIMEOUT,,,,1,1
By-W1_NOVEMBER-LONG-32,Bybit,W1_NOVEMBER,2025-11-22,2025-11-22T21:13:00+00:00,LONG,84257.25,1.058,0,0,0,0,1,TIMEOUT,,,,1,1
By-W1_NOVEMBER-LONG-33,Bybit,W1_NOVEMBER,2025-11-22,2025-11-22T23:54:00+00:00,LONG,84676.55,0.04,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-SHORT-0,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T02:01:00+00:00,SHORT,92408.15,2.103,1,0,0,0,0,WIN,216,,,1,1
OK-W1_NOVEMBER-SHORT-1,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T06:10:00+00:00,SHORT,90384.65,0.0,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-SHORT-2,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T10:01:00+00:00,SHORT,91473.25,2.131,1,0,0,0,0,WIN,385,,,6,1
OK-W1_NOVEMBER-SHORT-3,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T17:02:00+00:00,SHORT,89807.25,1.356,0,0,0,1,0,LOSS,,,,4,1
OK-W1_NOVEMBER-SHORT-4,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T00:21:00+00:00,SHORT,91660.55,0.016,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-SHORT-5,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T02:52:00+00:00,SHORT,92534.65,1.161,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-SHORT-6,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T06:09:00+00:00,SHORT,92741.75,2.136,1,0,0,0,0,WIN,478,,,2,1
OK-W1_NOVEMBER-SHORT-7,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T09:57:00+00:00,SHORT,91817.35,2.154,1,0,0,0,0,WIN,361,,,6,1
OK-W1_NOVEMBER-SHORT-8,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T18:08:00+00:00,SHORT,87346.45,1.429,0,0,0,0,1,TIMEOUT,,,,4,1
OK-W1_NOVEMBER-SHORT-9,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T00:12:00+00:00,SHORT,87074.75,2.251,1,0,0,0,0,WIN,428,,,1,1
OK-W1_NOVEMBER-SHORT-10,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T03:47:00+00:00,SHORT,86019.75,3.43,1,1,1,0,0,WIN,226,226,226,2,1
OK-W1_NOVEMBER-SHORT-11,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T08:14:00+00:00,SHORT,84450.15,2.005,1,0,0,0,0,WIN,78,,,1,1
OK-W1_NOVEMBER-SHORT-12,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T10:35:00+00:00,SHORT,82499.95,2.19,1,0,0,0,0,WIN,113,,,1,1
OK-W1_NOVEMBER-SHORT-13,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T12:40:00+00:00,SHORT,82700.95,0.0,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-SHORT-14,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T16:23:00+00:00,SHORT,82930.85,0.0,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-SHORT-15,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T18:40:00+00:00,SHORT,84351.05,1.085,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-SHORT-16,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T20:50:00+00:00,SHORT,84330.05,0.6,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-SHORT-17,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T23:23:00+00:00,SHORT,84831.05,1.203,0,0,0,0,1,TIMEOUT,,,,11,1
OK-W1_NOVEMBER-SHORT-18,OKX,W1_NOVEMBER,2025-11-22,2025-11-22T16:15:00+00:00,SHORT,84525.05,0.466,0,0,0,0,1,TIMEOUT,,,,7,1
OK-W1_NOVEMBER-LONG-19,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T03:33:00+00:00,LONG,92117.95,1.534,0,0,0,1,0,LOSS,,,,4,1
OK-W1_NOVEMBER-LONG-20,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T08:51:00+00:00,LONG,91370.15,1.017,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-LONG-21,OKX,W1_NOVEMBER,2025-11-19,2025-11-19T14:29:00+00:00,LONG,91075.25,2.139,0,0,0,1,0,LOSS,,,,5,1
OK-W1_NOVEMBER-LONG-22,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T06:45:00+00:00,LONG,91928.55,0.525,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-LONG-23,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T09:51:00+00:00,LONG,91579.95,0.632,0,0,0,1,0,LOSS,,,,1,1
OK-W1_NOVEMBER-LONG-24,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T14:06:00+00:00,LONG,91125.95,2.085,0,0,0,1,0,LOSS,,,,7,1
OK-W1_NOVEMBER-LONG-25,OKX,W1_NOVEMBER,2025-11-20,2025-11-20T23:23:00+00:00,LONG,87337.95,0.815,0,0,0,1,0,LOSS,,,,2,1
OK-W1_NOVEMBER-LONG-26,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T02:07:00+00:00,LONG,86799.85,1.09,0,0,0,1,0,LOSS,,,,9,1
OK-W1_NOVEMBER-LONG-27,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T11:58:00+00:00,LONG,82277.55,2.259,0,0,0,1,0,LOSS,,,,2,1
OK-W1_NOVEMBER-LONG-28,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T15:41:00+00:00,LONG,82954.25,2.094,1,0,0,0,0,WIN,75,,,1,1
