window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29392979,2025-11-19,2025-11-19T18:59:00+00:00,SHORT,89199.95,0.683,1.546,0,0,0,1,0,LOSS,,,,-0.289,-0.763,0.097,0.412,3.355,0.44,0.011,-0.0618,-183.157,-0.0696,-200.712,0.202,0.535,0.75,-0.0141,2630.787
W1_NOVEMBER,Bybit,29393037,2025-11-19,2025-11-19T19:57:00+00:00,SHORT,88902.85,0.351,1.655,0,0,0,1,0,LOSS,,,,-0.361,-0.993,0.087,0.273,1.365,0.417,0.011,-0.005,-65.149,-0.0236,-27.008,0.03,0.512,0.69,-0.0007,2758.419
W1_NOVEMBER,Bybit,29393301,2025-11-20,2025-11-20T00:21:00+00:00,SHORT,91653.35,0.004,1.601,0,0,0,1,0,LOSS,,,,0.243,1.287,0.079,2.961,0.04,0.542,0.011,-0.0105,203.177,0.1283,-124.091,0.399,0.436,0.72,0.0512,1583.713
W1_NOVEMBER,Bybit,29393377,2025-11-20,2025-11-20T01:37:00+00:00,SHORT,92491.95,0.875,0.68,0,0,0,0,1,TIMEOUT,,,,0.283,2.239,0.074,2.657,0.137,0.544,0.011,-0.0821,233.62,0.0843,188.24,0.309,0.458,1.26,0.0261,2770.366
W1_NOVEMBER,Bybit,29393452,2025-11-20,2025-11-20T02:52:00+00:00,SHORT,92539.75,1.159,0.628,0,0,0,0,1,TIMEOUT,,,,0.066,1.373,0.07,2.412,0.239,0.266,0.011,0.2571,-245.104,-0.195,-486.733,0.024,0.597,0.75,-0.0046,1257.128
W1_NOVEMBER,Bybit,29393649,2025-11-20,2025-11-20T06:09:00+00:00,SHORT,92759.95,2.148,0.054,1,0,0,0,0,WIN,478,,,-0.164,0.335,0.058,0.69,0.388,0.283,0.011,0.3387,305.973,0.3293,-57.746,0.186,0.335,0.49,0.0612,929.293
W1_NOVEMBER,Bybit,29393685,2025-11-20,2025-11-20T06:45:00+00:00,LONG,91942.95,0.507,1.481,0,0,0,0,1,TIMEOUT,,,,-0.731,-0.524,0.054,0.122,1.265,0.888,0.011,0.2608,-727.29,-0.3286,-611.561,-0.759,0.664,1.22,0.2495,2213.196
W1_NOVEMBER,Bybit,29393716,2025-11-20,2025-11-20T07:16:00+00:00,SHORT,91964.45,1.846,0.483,0,0,0,0,1,TIMEOUT,,,,-0.716,-0.432,0.058,0.307,1.242,0.384,0.013,-0.0241,-70.898,-0.0436,-930.094,0.043,0.522,0.96,-0.0019,1627.286
W1_NOVEMBER,Bybit,29393871,2025-11-20,2025-11-20T09:51:00+00:00,LONG,91579.95,0.627,1.577,0,0,0,1,0,LOSS,,,,-0.565,-0.139,0.05,0.124,1.325,0.503,0.011,0.0335,-887.329,-0.3991,-982.388,-0.266,0.7,1.52,0.106,2223.085
W1_NOVEMBER,Bybit,29393877,2025-11-20,2025-11-20T09:57:00+00:00,SHORT,91815.15,2.022,0.369,1,0,0,0,0,WIN,361,,,-0.288,-0.071,0.053,0.381,1.072,0.477,0.011,0.2704,-612.915,-0.2499,-844.9,0.009,0.625,1.66,-0.0022,2452.953
