cluster_id,matched_with,window_id,date,ts_start,exchange,direction,entry_price,outcome,hit2,loss,timeout,mfe,mae,time_to_2,capital_state,effort_vs_result,absorption_refill,initiative_control,background_alignment,not_overextended,liquidity_execution,cvd_delta_60m,taker_imb_30m,net_taker_30m,effort_vs_result_raw,depth_imbalance,spread_bps,dist_from_recent_low_pct,bounce_into_pivot_pct,explanation
By-W1_NOVEMBER-SHORT-9,OK-W1_NOVEMBER-SHORT-10,W1_NOVEMBER,2025-11-21,2025-11-21T03:47:00+00:00,Bybit,SHORT,86008.05,WIN,1,0,0,3.379,0.339,226,DISTRIBUTION_INTO_BOUNCE,1.0,2.0,3.0,1.0,1.0,3.0,-384.249,0.1576,325.651,0.0871,-0.2416,0.012,0.707,0.697,WIN: reached 2% down; CVD60 -384 (net selling); takerImb30 +0.16; effort_vs_result +0.09 (down driven by selling); depthImb -0.24 (ask-heavy(supply)); room_to_low 0.71%
OK-W1_NOVEMBER-SHORT-10,By-W1_NOVEMBER-SHORT-9,W1_NOVEMBER,2025-11-21,2025-11-21T03:47:00+00:00,OKX,SHORT,86019.75,WIN,1,0,0,3.43,0.34,226,DISTRIBUTION_INTO_BOUNCE,1.0,2.0,2.0,1.0,1.0,3.0,-57078.19,0.1077,31949.35,0.0597,-0.1981,0.012,0.726,0.704,WIN: reached 2% down; CVD60 -57078 (net selling); takerImb30 +0.11; effort_vs_result +0.06 (down driven by selling); depthImb -0.20 (ask-heavy(supply)); room_to_low 0.73%
By-W1_NOVEMBER-SHORT-13,OK-W1_NOVEMBER-SHORT-14,W1_NOVEMBER,2025-11-21,2025-11-21T16:23:00+00:00,Bybit,SHORT,82934.95,LOSS,0,1,0,0.0,1.797,,DISTRIBUTION_INTO_BOUNCE,1.0,2.0,2.0,2.0,3.0,3.0,-717.987,0.103,625.996,0.0111,-0.1526,0.012,2.771,0.876,LOSS: +1.5% adverse first (bounce held / bid absorbed); CVD60 -718 (net selling); takerImb30 +0.10; effort_vs_result +0.01 (down driven by selling); depthImb -0.15 (ask-heavy(supply)); room_to_low 2.77%
OK-W1_NOVEMBER-SHORT-14,By-W1_NOVEMBER-SHORT-13,W1_NOVEMBER,2025-11-21,2025-11-21T16:23:00+00:00,OKX,SHORT,82930.85,LOSS,0,1,0,0.0,1.815,,DISTRIBUTION_INTO_BOUNCE,0.0,0.0,2.0,2.0,3.0,3.0,-2295.26,0.0002,104.23,0.0,-0.0306,0.012,2.773,0.852,LOSS: +1.5% adverse first (bounce held / bid absorbed); CVD60 -2295 (net selling); takerImb30 +0.00; effort_vs_result +0.00 (selling absorbed / no progress); depthImb -0.03 (balanced); room_to_low 2.77%
By-W3_JANUARY-SHORT-4,OK-W3_JANUARY-SHORT-4,W3_JANUARY,2026-01-29,2026-01-29T03:17:00+00:00,Bybit,SHORT,88045.25,TIMEOUT,0,0,1,2.17,0.418,,DISTRIBUTION_INTO_BOUNCE,1.0,3.0,2.0,2.0,1.0,3.0,-628.752,0.0029,8.587,0.0007,-0.325,0.011,0.385,0.504,"TIMEOUT: drifted, no 2% in horizon; CVD60 -629 (net selling); takerImb30 +0.00; effort_vs_result +0.00 (down driven by selling); depthImb -0.33 (ask-heavy(supply)); room_to_low 0.39%"
OK-W3_JANUARY-SHORT-4,By-W3_JANUARY-SHORT-4,W3_JANUARY,2026-01-29,2026-01-29T03:17:00+00:00,OKX,SHORT,88050.05,TIMEOUT,0,0,1,2.157,0.407,,DISTRIBUTION_INTO_BOUNCE,1.0,2.0,2.0,2.0,1.0,3.0,-52240.24,0.0265,11647.52,0.0058,-0.1914,0.011,0.388,0.501,"TIMEOUT: drifted, no 2% in horizon; CVD60 -52240 (net selling); takerImb30 +0.03; effort_vs_result +0.01 (down driven by selling); depthImb -0.19 (ask-heavy(supply)); room_to_low 0.39%"
