metric,value
zones_total,21
zones_triggered,15
zones_reached,10
hit_rate_among_triggered,0.6666666666666666
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,19368
suppressions_active_open,8378
suppressions_active_triggered,10990
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,10
unique_reached_moves,1
duplicate_move_credits,9
raw_triggered_hit_rate,0.6666666666666666
unique_move_adjusted_hit_rate,0.06666666666666667
status_RESOLVED_FAILED,5
direction_LONG,9
status_RESOLVED_REACHED,10
direction_SHORT,12
status_INVALIDATED,6
