metric,value
zones_total,33
zones_triggered,24
zones_reached,7
hit_rate_among_triggered,0.2916666666666667
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,14899
suppressions_active_open,7818
suppressions_active_triggered,7081
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.2916666666666667
unique_move_adjusted_hit_rate,0.041666666666666664
status_RESOLVED_REACHED,7
direction_SHORT,19
status_RESOLVED_FAILED,17
direction_LONG,14
status_INVALIDATED,8
status_NO_TRIGGER,1
